"State","debt","PerCapita","Pop"
"Massachusetts",77043165,11043,6976597
"Connecticut",38756156,10877,3563077
"Rhode Island",8932377,8457,1056161
"Alaska",5921713,8068,734002
"New Jersey",65874095,7371,8936574
"New York",139234923,7162,19440469
"Hawaii",9656278,6835,1412687
"New Hampshire",7739447,5644,1371246
"Vermont",3502960,5577,628061
"Illinois",61821319,4883,12659682
"Delaware",4561576,4641,982895
"Maryland",28027363,4607,6083116
"Washington",33427752,4287,7797095
"West Virginia",7547010,4244,1778070
"Wisconsin",23252381,3974,5851754
"South Dakota",3527703,3907,903027
"Louisiana",18092508,3895,4645184
"California",152772292,3825,39937489
"North Dakota",2885664,3788,761723
"Pennsylvania",47519575,3706,12820878
"Maine",4750384,3530,1345790
"New Mexico",7057656,3366,2096640
"Michigan",33463604,3331,10045029
"Indiana",21842716,3238,6745354
"Virginia",27825929,3226,8626207
"Kentucky",14403514,3201,4499692
"South Carolina",15744638,3022,5210095
"Missouri",18419751,2986,6169270
"Oregon",12656643,2943,4301089
"Colorado",16980689,2905,5845526
"Minnesota",16363418,2870,5700671
"Ohio",33493235,2851,11747694
"Kansas",7538475,2590,2910357
"Montana",2795614,2572,1086759
"Mississippi",7470178,2499,2989260
"Utah",7453346,2271,3282115
"Oklahoma",8457322,2138,3954821
"Arizona",14291349,1937,7378494
"Iowa",6149694,1934,3179849
"Idaho",3369178,1845,1826156
"Alabama",8772871,1787,4908621
"Texas",50963262,1729,29472295
"Arkansas",4801939,1580,3038999
"North Carolina",16310177,1537,10611862
"Wyoming",769721,1357,567025
"Florida",28823847,1311,21992985
"Georgia",13050862,1216,10736059
"Nevada",3248814,1035,3139658
"Nebraska",2014523,1032,1952570
"Tennessee",6127422,888,6897576